;LISTA DE PRECIOS (JUNIO - 26);;;
YT07195;YATO;"LUBRICADORA NEUMÁTICA DE ACEITE 20 LTS.
La llenadora neumática de aceite permite llenar máquinas o sus componentes con aceite de forma rápida, eficiente y segura. El depósito se conecta a la lanza mediante una manguera flexible, lo que facilita el trabajo incluso en lugares de difícil acceso.

El depósito cuenta con ruedas y un asa, lo que facilita su desplazamiento incluso cuando está lleno de aceite. La amplia abertura de entrada, equipada con un embudo, permite llenar el depósito de aceite fácil y rápidamente.

Parámetros:

Presión máxima [MPa]: 0,3
Presión de funcionamiento recomendada [MPa]: 0,1 - 0,3
Caudal de aire requerido [l/min]: 150
Capacidad del tanque [l]: 20
Temperatura máxima del aceite [grados C]: 35
Peso [kg]: 7"; $129.900 ;
BMC25F;FERTON;Lubricador Manual (Pato de lubricación) con ruedas de 25 Lts.; $169.900 ;
LOA003;MOTOR LIFE;Recolector de aceite usado para 6Lts.; $6.500 ;
LOA004;MOTOR LIFE;Recolector de aceite usado para 8Lts.; $6.500 ;
INDEMB1000;INDIANA MOTOR;"Recolector de aceite usado para 8 Lts.
• Para drenaje de fluidos o aceites
• Varias manijas y tapones hacen sencillo el transporte de líquidos contenidos a otro tanque más grande para su reciclado
• Capacidad útil del tanque recogedor de aceite: 8 Litros  (15 Lts. capacidad total)
• Hecho de polietileno
• Resiste la mayoría de los productos de automotores, excepto líquido para frenos
• Fácil recolección cuando se drena aceite y la mayoría de los fluidos utilizados en un garage"; $20.990 ;
BOD2008;BAHCO;"Recolector de aceite usado para 8 Lts.
• Para drenaje de fluidos o aceites
• Varias manijas y tapones hacen sencillo el transporte de líquidos contenidos a otro tanque más grande para su reciclado
• Capacidad del tanque recogedor de aceite: 8 L
• Hecho de polietileno
• Resiste la mayoría de los productos de automotores, excepto líquido para frenos
• Fácil recolección cuando se drena aceite y la mayoría de los fluidos utilizados en un garage"; $34.990 ;
YT0716;YATO;"Recolector de aceite usado para 10Lts.

Ranura de filtro moldeada para ayudar a drenar el aceite residual del filtro de aceite
Manija trasera moldeada para un control de transporte y un propósito de colada convenientes
El pico incorporado facilita el reciclaje
Resistente a productos químicos y solventes
Fabricada  en Polipropileno"; $19.990 ;
LOA005;MOTOR LIFE;"Recolector de aceite usado para 15Lts.

Ranura de filtro moldeada para ayudar a drenar el aceite residual del filtro de aceite
Manija trasera moldeada para un control de transporte y un propósito de colada convenientes
El pico incorporado facilita el reciclaje
Resistente a productos químicos y solventes
Fabricada  en Polipropileno"; $22.500 ;
RABP120;THORTOOLS;RECOGEDOR PLÁSTICO DE ACEITE BAJO PERFIL 120 LITROS. MEDIDAS 100X100X12 CMS.; $99.990 ;
YT07183;YATO;"RECOGEDOR MOVIL DE ACEITE Y FLUIDOS DE BAJO PERFIL. CAPACIDAD 65 LITROS. INCLUYE BOMBA MANUAL Y MANGUERA DE DRENAJE, REJILLA METÁLICA MANILLA DE ARRASTRE Y 4 RUEDAS.
Capacidad [l]:  65
Capacidad del tanque [l]:  65
Altura [mm]: 185 
Dimensiones del tanque [mm]:  1110x700x155 
Material: PP
Ruedas: sí
Número de ruedas: 4
Diámetro de la rueda [mm]: 95 
Peso [kg]: 17,5"; $269.990 ;
YT0718;YATO;"RECOGEDOR DE ACEITE 20 LITROS

Sifón de aceite profesional de 20L de YATO.
El tanque de captación está hecho de plástico PE duradero, que puede funcionar a temperaturas de -30 a + 80 grados C.
Dispone de una amplia cubeta de drenaje de 420 mm de diámetro rematada con una rejilla de seguridad que facilita el drenaje del aceite, así como de un depósito de 20 litros , que además está equipado con ruedas giratorias para facilitar el movimiento del fregadero a el lugar de trabajo.
Gracias al uso de un tubo de acero, este producto puede ajustar la altura de trabajo de 750 mm a 1550 mm.

Material : Polietileno
Aplicación : Para fluidos operativos
Capacidad : 20 litros
Diámetro : 420 mm
Altura : 75-155 mm
Asa de transporte : sí
Temperatura de funcionamiento : -30 ~ +80 ?C"; $136.990 ;
16208001;RITE LUBE;"RECOGEDOR DE ACEITE 80 LITROS

Dispensador seguro y económico para drenar el aceite.
Dispositivos adecuados para drenar, por gravedad, el aceite usado de motores, cajas de cambios y diferenciales de todos los vehículos.
Secador de aceite con recipiente colector ajustable montado en el centro.
Altura del recipiente colector ajustable para trabajar con gato elevador o llave de servicio.
Equipado con una válvula para el recipiente colector para inspeccionar el aceite drenado antes de que ingrese al depósito.
Depósito 80 lts
"; $294.900 ;
YT07191;YATO;"RECOGEDOR NEUMÁTICO DE ACEITE USADO DE 65 LTS. CON JUEGO DE 6 SONDAS DE ASPIRACIÓN.
El recogedor y aspirador permite vaciar rápidamente el aceite de motores y cajas de cambios de automóviles. Se utiliza para vaciar y aspirar aceite y líquidos de servicio de automóviles, motocicletas y máquinas agrícolas.

Depósito de 65 lts.
Embudo ancho de 5 lts. (Capacidad total 70 lts.)
Aspiración a fondo del aceite acumulado en tuberías y conductos
Presión de trabajo: 8 bar
Presión de aspiración: 0,7-0,8 MPa
Presión de vaciado: 0,18 MPa
Equipado con 4 ruedas, 2 de ellas giratorias para facilitar el desplazamiento de la unidad
Altura: 135 cm
Soporte para guardar las sondas de aspiración que ayuda a mantener el lugar de trabajo ordenado y limpio
6 sondas de aspiración incluidas - 4 flexibles y 2 metálicas - para adaptarse a la mayoría de los modelos de coche"; $274.990 ;
YT07190;YATO;" RECOGEDOR NEUMATICO DE ACEITE USADO CON ASPIRACION 90 LITROS, TANQUE DE CONTROL Y UN JUEGO DE 6 SONDAS DE SUCCION. El extractor neumático Yato YT-07190 está equipado con un tanque de control. Permite drenar rápidamente el aceite de los motores y cajas de cambio de los automóviles. También puede utilizarse en la agricultura. Dispone de ruedas de maniobra y de un soporte para la limpieza de las sondas.
Datos técnicos:
• Presión de trabajo: 8bar
• Presión de aspiración: 0,7-0,8MPa
• Presión de descarga: 0,18MPa
• Consumo de aire: 90l/min
• Depósito: 70l
• Depósito de control: 10l
• Embudo: 10l
• Altura: 150cm
• Peso: 20kg
Accesorios básicos:
• 4 sondas de aspiración flexibles
• 2 sondas de aspiración metálicas
"; $449.900 ;
CAR1607A;IMP;Set de 2 almohadillas contra salpicaduras de drenaje de aceite para recogedores. Diámetro de 38 cms. Espesor de  1 cm.; $9.990 ;
CPTAMBOR;NAC.;"CARRO PORTA TAMBOR 200 LT
Producto fabricado completamente en acero, ideal para el traslado de tambores metálicos de 200 litros. Sistema de enganche con uña superior que permite cargar y descargar fácilmente, solo trabe con la uña superior y luego pise la parte trasera inferior y estará listo para su traslado en un angulo de 45º, entregando mayor comodidad y rapidez en su traslado.
Alto : 1.20 mt
Ancho : 60 cm
Fondo : 45 cm"; $295.000 ;
LRP12501;AMPRO;"CARRO PORTA TAMBOR 200 LT
Para tambores de 200 lts.
Trabador de tambor.
Mango para tirar con lanza tiro.
Ruedas macizas.
Bloqueo de ruedas para evitar movimiento.
"; $264.900 ;
CPNEU;NAC.;CARRO PORTA NEUMÁTICOS (HASTA 7 UNIDADES); $329.900 ;
T670102;DATONG PROFESSIONAL TOOLS;Lavadora de piezas 20 galones.; $349.000 ;
YT2374;YATO;Pulverizador ( aluminio ) de baja presión.; $16.990 ;
DG10EC;VOYLET;Pulverizador ( aluminio ) de baja presión.; $26.900 ;
TL1032;CAMPBELL HAUSFELD;"Pistola Limpia Motor Neumática

La pistola de limpieza utiliza el tubo o sifón incluido para introducir la solución de limpieza en el mango de aluminio fundido a presión, donde es transportado por aire comprimido a través de la varilla de acero al cromo de 9 pulgadas para eliminar la grasa y la suciedad. Prefecto para limpiar bloques de motor y otros trabajos difíciles. Esta varilla de limpieza requiere 4.0 SCFM de aire a 90 PSI. 1/4 pulgada NPT (F)."; $39.990 ;
DG10B1;VOYLET;Pistola de sopletear corta. Grado presión 0-100 PSI - presión máx.120 PSI - boquilla: 2,0 mm; $9.500 ;
YT23731;YATO;Pistola de sopletear con extensión de 110mm; $11.990 ;
YT23732;YATO;Pistola de sopletear con extensión de 320mm; $13.490 ;
YT23733;YATO;Pistola de sopletear con extensión de 520mm; $15.990 ;
VT01792;VIKTEC;JUEGO DADOS PARA ESPARRAGOS 4 PZAS. 6,8,10,12 MM; $62.900 ;
YT06251;YATO;"EXTRACTOR DE ESPARRAGOS, PASADORES, TORNILLOS
8,5 - 19 mm. Cuadrante de 1/2"""; $14.990 ;
YT0603;YATO;"Jgo. Extractores cuadrante de 3/8"" p/pernos y tuercas rodadas, 10 pzas. 10, 11, 12, 13, 14, 15, 16, 17, 19 mm."; $24.990 ;
YT05893;YATO;"JUEGO UNIVERSAL DE 26 PIEZAS. EXTRACTOR DE PERNOS, TUERCAS Y ESPÁRRAGOS
Tamaño de rosca:
M3-M6, M6-M8, M8-M11, M11-M14, M14-M18, M18-M24

Recomendado para servicios mecánicos y automotrices.

Contiene:
Dimensiones: 1/4"", 8 mm, 3/8"", 10 mm, 11 mm, 12 mm, 1/2"", 13 mm, 14 mm, 16 mm, 17 mm, 11/16"", 19 mm.
Extractores: 1#, 2#, 3#, 4#, 5#, 6#.
Diámetro: 2,4 mm, 3,2 mm, 4 mm, 6,4 mm, 7,2 mm, 9,5 mm.
Extensión hexagonal de 3/8"".
Elementos fabricados en acero al cromo-molibdeno de alta calidad con una dureza de acero HRC 47-50 y HSS 4341."; $69.990 ;
DE17192122;THORTOOLS;"Juego de 4 dados extractores giratorios cuadrante 1/2"". Extractor de pernos y tuercas para 17mm, 19mm, 21mm y 22mm. Material: Acero al carbono"; $59.990 ;
YT06034;YATO;"Set de 25 puntas extractoras de pernos. Medidas: 3 - 23 mm
Tamaños: 
3, 4, 5, 5.5, 6, 7, 8, 9, 10, 11, 12, 13, 13.5, 14, 15, 16, 17, 17,5, 18, 19, 20, 21, 21.5, 22, 23 mm
Material 50CrV
Dureza 50-53 HR
Para quitar pernos, pasadores, tornillos y boquillas de lubricación dañados."; $73.490 ;
YT06030;YATO;"Set de extractores de tuercas dañadas 1/2"" 4 piezas. 17 - 18,5 - 21,5 - 26 mm. Caja metálica. Los extractores tienen hilo interior y forma ligeramente cónica."; $39.490 ;
YT0590;YATO;Set extractor de Pernos ( Cola de Chancho ) 6 pzas. 3-6, 6-8, 8-11, 11-14, 14-18, 18-25 mm; $5.990 ;
YT0591;YATO;"JUEGO DE EXTRACTOR DE TORNILLOS Y BROCAS HSS 12 PIEZAS
Tamaño del hilo: M3-M6, M6-M8, M8-M11, M11-M14, M14-M18, M18-M24
Diámetro: 1,4-3,6, 2,1-4,9, 3,1-6,5, 4,8-8,8, 6,2-11, 9,4-15 mm
Diámetro de perforación: 1,8, 2,6, 3,7, 5,5, 7, 10,3 mm
Material: HSS"; $20.990 ;
YT0585;YATO;SET DE EXTRACTORES DE TUERCAS; $49.900 ;
YT2990;YATO;Porta macho con chicharra. M5-M12. 100mmL.; $16.990 ;
YT2997;YATO;Porta macho con chicharra. M3-M10. 250mmL.; $17.990 ;
YT2930;YATO;JUEGO DE 3 MACHOS M3 X 0,5MM; $8.490 ;
YT2931;YATO;JUEGO DE 3 MACHOS M4 X 0,7MM; $8.490 ;
YT2993;YATO;PORTA MACHOS M4-M12; $13.990 ;
YT2994;YATO;PORTA MACHOS M5-M20; $23.990 ;
YT2995;YATO;PORTA MACHOS M1-M8; $7.590 ;
YT2996;YATO;PORTA MACHOS M3-M10; $8.290 ;
YT2975;YATO;Juego de machos y terrajas. 32 piezas. (M3x0.5 mm, M4x0.7 mm, M5x0.8 mm, M6x1.0 mm, M8x1.25 mm, M10x1.5 mm, M12x1.75 mm); $159.990 ;
YT2979;YATO;Juego de machos y terrajas M3-M20. 56 piezas. M3, M4, M5, M6, M8, M10, M12, M14, M16, M18, M20. (M3x0,5 mm, M4x0,7 mm, M5x0,8 mm, M6x1 mm, M8x1,25 mm, M10x1,5 mm, M12x1,75 mm, M14x2 mm, M16x2 mm, M18x2,5 mm, M20x2,5 mm); $599.900 ;
YT22260;YATO;"Llave cadena para tubos de diametro hasta 4"", largo 12"""; $28.990 ;
YT22261;YATO;"Llave cadena para tubos de diametro hasta 5"", largo 15"""; $28.990 ;
YT2180;YATO;Avellanador de tubos. 7 piezas. El juego de ensanchamiento manual es adecuado para expandir tubos de latón, aluminio y cobre suave. Las mordazas para actividades de compresión evitan que los tubos se deslicen. El ángulo máximo de apertura es 90°. El kit de herramientas es adecuado para líneas de combustible y freno. Diámetro del tubo: 3, 5, 6, 8, 10, 12, 14, 15, 16, 19 mm; $39.990 ;
YT2233;YATO;"Cortador de tubos 1/4""-7/4"" (6-45mm) diámetro de plástico, aluminio, cobre."; $34.990 ;
YT21826;YATO;"EXPANSOR HIDRÁULICO PARA TUBERÍAS DE COBRE

Este kit es de gran utilidad para profesionales de la plomería, aire acondicionado, calefacción y otras industrias que requieren conexiones de tuberías de cobre.
Gracias al conservador hidráulico se pueden conseguir conexiones fuertes, estancas y profesionales, lo cual es crucial para el funcionamiento fiable de la instalación.
Conexiones: 3/8"" (9,5 mm), 1/2"" (12,7 mm), 5/8"" (15,9 mm), 3/4"" (19,0 mm), 7/8"" (22,2 mm), 1"" ( 25,4 mm) y 1-1/8"" (28,6 mm).
El KIT incluye tres herramientas necesarias:
Escariador: La herramienta principal del kit que le permite escariar con precisión los extremos de los tubos de cobre. Funciona según el principio de presión hidráulica, lo que permite que la tubería se expanda de manera precisa y uniforme, asegurando una conexión permanente y hermética.
Cortador: Se utiliza para recortar los extremos de las tuberías exactamente antes de usar el expansor. Proporciona un corte limpio y uniforme, lo cual es importante para la calidad de las conexiones de las tuberías.
Dispositivo de desbarbado: Se utiliza para preparar los extremos de las tuberías antes del abocardado. Permite la eliminación de bordes afilados y rebabas, lo que resulta en un mejor ajuste y una unión más duradera."; $336.490 ;
YT6862;YATO;Letras de golpe. 6 mm. 27 piezas; $15.990 ;
YT6863;YATO;Letras de golpe. 8 mm. 27 piezas; $22.990 ;
2023080;THORTOOLS;Letras de golpe. 10 mm. 27 piezas; $24.900 ;
YT6854;YATO;Números de golpe. 6 mm. 9 piezas; $6.990 ;
YT6855;YATO;Números de golpe. 8 mm. 9 piezas; $7.990 ;
YT0642;YATO;Saca retén 85 mm. Largo 420 mm.; $8.990 ;
YT0843;YATO;Juego de 4 mini ganchos para sacar o'rings, retenes, chavetas, golillas con puntas endurecidas y cromadas. Mango fabricado con material antieslizante de alta calidad.; $4.990 ;
YT08429;YATO;Juego de 4 ganchos largos (240mm) para sacar o'rings, retenes, chavetas, golillas con puntas endurecidas y cromadas. Mango fabricado con material antieslizante de alta calidad.; $6.990 ;
YT08425;YATO;"
JUEGO DE 7 GANCHOS

El juego de ganchos con mango cuenta con hojas templadas y cromadas de acero 40Cr. Longitud de las herramientas: 162 mm y 205 mm. El mango está hecho de plástico bicomponente para un agarre seguro. El juego se utiliza para trabajos de precisión como:
Cojinete
Tracción
Separación de componentes de metal, madera y plástico.
Perforar y empujar en lugares inaccesibles para otras herramientas.
El conjunto se recomienda para trabajos en automoción, servicio mecánico, servicio, construcción."; $14.990 ;
DND0026;SAM PRO TOOLS;Kit instalador de retenes y rodamientos 17 piezas. 10 a 38mm; $42.990 ;
A3605;SAM PRO TOOLS;EXTRACTOR E INSTALADOR DE RETENES; $96.500 ;
YT0846;YATO;Extractor de plumas de limpiaparabrisas; $6.990 ;
YT0845;YATO;Set removedor de parabrisas, 7 piezas; $49.990 ;
YT25480;YATO;Extractor de polea 40-165 mm.; $31.490 ;
DND5034;SAM PRO TOOLS;"SET DE 15 HERRAMIENTAS PARA TENSAR CORREAS. INCLUYE PUNTAS POLIGONALES Y TORX
Aplicación: Universal
Largo de la llave: 46cm
Medidas:
Poligonal (12 puntas) 12, 13, 14, 15, 16, 17, 18, 19mm
Torx (6 Puntas) E10, E12, E14, E16, E18"; $94.990 ;
DND6030;SAM PRO TOOLS; ASENTADOR (LAPEADOR) DE VALVULAS DE MOTOR SET DE 2 UNIDADES (15, 20, 28 Y 34MM); $9.990 ;
YT0648;YATO;Alicate extractor de sellos de válvula. 270mm.; $14.990 ;
YT0618;YATO;"Compresor de resortes de válvulas de motor. Se aplica a una amplia gama de motores OHV, OHC y CHV
No apto para su uso en motores con válvulas de asiento profundo.
Permite que los resortes de válvula y los sellos de aceite del vástago de válvula se reemplacen con la culata de cilindros.
Cuenta con un adaptador / mordaza reversible y bloqueo automático de acción de leva a un ajuste predeterminado."; $54.490 ;
YT05810;YATO;BRUÑIDOR DE CILINDROS. Diámetro: 19-63 mm. Longitud total: 205 mm; $10.490 ;
YT05811;YATO;BRUÑIDOR DE CILINDROS. Diámetro: 32-89 mm. Longitud total: 230 mm; $16.990 ;
YT05812;YATO;BRUÑIDOR DE CILINDROS. Diámetro: 51-177 mm. Longitud total: 305 mm; $36.990 ;
EXT-15;TRUPER;"EXTRACTOR PARA ENGRANAJE Y POLEAS. JUEGO DE 15 PIEZAS. Apertura máx.95 mm. Alcance máx.45 mm. Cabeza tornillo 5/8"". Contenido: 1 Extractor, 1 Tornillo forzador, 11 Tornillos extractores, 1 Punta giratoria cónica, 1 Punta giratoria plana"; $29.900 ;
YT2510;YATO;Extractor de rodamiento interior 12-38 mm.; $29.990 ;
YT2515;YATO;"Extractor de rodamientos de 2 brazos de 3"" (75 mm). Fuerza máxima 1.0T."; $12.990 ;
YT2516;YATO;"Extractor de rodamientos de 2 brazos de 4"" (100 mm). Fuerza máxima 1.5T."; $17.990 ;
YT2517;YATO;"Extractor de rodamientos de 2 brazos de 6"" (120 mm). Fuerza máxima 3.0T."; $24.990 ;
YT2518;YATO;"Extractor de rodamientos de 2 brazos de 8"" (180 mm). Fuerza máxima 5.0T."; $47.990 ;
YT2511;YATO;"Extractor de rodamientos de 3 brazos de 3"" (75 mm). Para diámetros de 50-150 mm. Eje central de 14 mm."; $19.990 ;
YT2512;YATO;"Extractor de rodamientos de 3 brazos de 4"" (100 mm). Para diámetros de 60-200 mm. Eje central de 15 mm."; $26.990 ;
YT2513;YATO;"Extractor de rodamientos de 3 brazos de 6"" (150 mm). Para diámetros de 80-300 mm. Eje central de 19 mm."; $47.990 ;
HGP08036;INGCO;"Extractor de rodamientos de 3 brazos de 6"" (150 mm)."; $59.990 ;
YT2523;YATO;"Extractor de rodamientos de 3 brazos de 12"" (300 mm). Para diámetros de 180 mm. Eje central de 22 mm. Máxima fuerza 11 T."; $114.990 ;
YT0641;YATO;Set saca rodamientos , máximo 43 mm (35-150 mm.) 12 piezas.; $84.990 ;
DND0025;SAM PRO TOOLS;Set para extraer rodamientos o bujes interiores con martillo deslizante de 1,4 kg. Con eje de 390mm. Contiene 9 piezas. Rango: 8 – 30mm. Largo martillo 37 cm. Extractores de 8-10mm, 10-12mm, 12-14mm, 15-17mm, 17-20mm, 20-24mm, 25-29mm y 30-32mm.; $89.900 ;
DND1031;SAM PRO TOOLS;Set extractor de golpe interior y exterior con martillo deslizante. Extractor interior pequeño de 15-30mm. Extractor interior grande de 30-80mm. Extractor exterior de 15-80mm. Extractores de 3 patas. Modo de uso: Bloqueo de la tuerca para abrir las 3 mordazas y sujetar el rodamiento. Luego se utiliza el martillo deslizante para sacar el rodamiento.; $129.900 ;
YT25391;YATO;"Set de extractores (16 piezas). Acero al cromo vanadio 8,2kg

El conjunto incluye:
Extractor externo de 3 brazos, extractor externo de 2 brazos, extractor interno de 3 brazos, extractor interno de 2 brazos, extractor de gancho, extractor de eje trasero, extractor de chapa, adaptador de llave, mango, martillo, extractor de ejes x2, adaptador a llave, brida, cabezal de 3 hojas, cabezal de 2 machos de roscar, tuerca y perno x3 (M8x1,25 mm), casquillo de tornillo, brazo extractor, tornillo (M12x1,75 mm), gancho"; $167.990 ;
N2P25726;THORTOOLS;Juego para extraer rodamientos. 14 piezas. Tipo guillotina y dos patas.; $59.990 ;
YT0609;YATO;EXTRACTOR DE RODAMIENTOS CON CILINDRO HIDRAULICO TIPO CUCHILLA 75-105 MM; $269.990 ;
YT25105;YATO;Juego de extractor universal interior y exterior. De 2 o 3 brazos. 12 piezas. Largo de brazos 100-200 y 250mm. Peso 8,25 kg.; $179.990 ;
YT2541;YATO;Juego para extraer rodamientos delanteros 23 piezas; $159.900 ;
CH009WL704;IMBEST;Lámpara de trabajo para colgar. Jaula protectora. Cable de 2 metros. 220V. 60W. Incluye ampolleta.; $10.990 ;
YT08530;YATO;"Lámpara, linterna recargable LED para capó inalámbrica 750 lm
Lámpara extensible, doble gancho e imán
La lámpara se puede fijar de tres maneras:
Utilizando abrazaderas adaptadas al ancho de la solapa
Colgando de ganchos de plástico ocultos en los mangos de las lámparas.
Utilizando imanes colocados en ambos extremos de los mangos plegables
Las abrazaderas de montaje se pueden ajustar al ancho de la tapa del motor en un rango de 1120-2000 mm. La dirección de la luz se puede ajustar girando la lámpara +/- 30 grados. Fuente de luz: 120 LED
Dos modos de funcionamiento: 100% (120 diodos) / 50% (60 diodos)
Flujo luminoso 750 lm (120 diodos) / 370 lm (60 diodos)
batería: Li-Ion 7,4V 1800 mAh
Tiempo de carga: 4,5-5 h.
Tiempo de funcionamiento: 7-8 h (60 diodos), 3,5-4 h (120 diodos)
Carga: cargador de red o de coche"; $104.990 ;
DFL001;DGP;"LINTERNA ALUMINIO TIPO LAPIZ 1 LED 60 LUMENES

La Linterna 1 LED de 60 lm incluye 2 pilas AAA. Iluminará todos los rincones de tu auto, casa, excursiones y emergencias. Tiene capacidad de 2 horas de uso continuo y alcance de 40 mts."; $7.490 ;
LLD172;THORTOOLS;"LINTERNA RECARGABLE CON DINAMO Y PANEL SOLAR
Color de la luz: blanco
Tipo de batería: Ni-MH
Capacidad de la batería: 40mAh
Vida útil del LED: 100.000 horas

INSTRUCCIONES DE USO PARA CARGA CON LA MANIVELA:
Gira la manivela a 2 vueltas por segundo para cargar la batería.
La manivela durante un minuto generará energía para 8 minutos de iluminación
Para proteger el rendimiento a largo plazo de la batería, no gire la manivela durante más de 15 minutos

INSTRUCCIONES DE USO PARA CARGA CON EL PANEL SOLAR:
El panel solar se puede cargar bajo luz natural y artificial.
La carga bajo la luz solar directa durante 30 minutos generará energía durante 10 minutos de iluminación
40 horas de luz solar directa cargarán completamente la batería.

CONSEJOS DE USO:
Gira la manivela con la linterna apagada.
Evita colocarlo con calor y humedad extremos.
Aplique fuerza moderada en la manivela para no dañarla.
Para proteger el rendimiento de la batería, gira la manivela durante 1 minuto al menos cada mes."; $15.990 ;
YT085051;YATO;"Lámpara de taller recargable YATO con luz principal de 100lm y linterna de 45lm. El modelo está equipado con una batería de iones de litio de gran capacidad de 1800 mAh que proporcionará al menos 3,5 horas de funcionamiento continuo . Fabricado en material ABS duradero, que proporciona protección mecánica clase IK05. El cuerpo giratorio , 2 ganchos y 2 imanes le permiten ajustar correctamente el haz de luz.
FUENTE DE LUZ:
Luz principal: 100 lm, temperatura de color 8000 K, CRI80
Linterna: 45lm
Número de diodos: 30+7 (30 luz principal + 7 linterna)
2 modos de funcionamiento  : luz principal - linterna
 FUENTE DE ENERGÍA:
Batería:  LI-ION 3,7 V 1800 mAh (tipo 18650)
Tiempo de trabajo: 3,5-15 horas (luz principal – 3,5-4 horas, linterna 13-15 horas)
Tiempo de carga: 4-5 horas
El set incluye: cargador de 230V, cargador de coche de 12V, cable USB
Carga: 5V1A
 CONSTRUCCIÓN Y CARACTERÍSTICAS:
Clase de protección mecánica IK05
Material: ABS, caracterizado por una dureza muy alta, lo que lo hace muy resistente a arañazos, impactos y abolladuras. Además, es resistente a diversos agentes químicos.
Mango ajustable: 180 grados
Dos ganchos  te permiten colgar la lámpara tanto en posición horizontal como vertical.
Base magnética y parte trasera de la lámpara.
Indicador de carga de la batería (luz roja/luz verde)
Tamaño del producto: 280x56x35mm
Peso: 280 g"; $43.990 ;
L-MINI-1;IRIMO;"Minilinterna SMD inalámbrica y plegable 
L-MINI-1
4 LED SMD de 250 lm (principal) y LED SMD de 70 lm (linterna).
El mango puede flexionarse 180°.
Imán de neodimio en la base.
Gancho plegable que gira totalmente 360°.
Batería de litio de 3,7 V y 1000 mAh.
Hasta 7 horas de funcionamiento.
Incluye cable de carga micro USB de 1 m.
Temperatura del color: 5700ºK.
IP20/IK07.
Índice de reproducción cromática (CRI) >80
CE-EMC/RoHS/Reach."; $26.990 ;
L-FLEX-1;IRIMO;"Linterna COB inalámbrica y flexible 
L-FLEX-1
LED COB de 50-400 lm (principal) y LED SMD de 70 lm (linterna).
Intensidad de la luz regulable.
El mango puede flexionarse 180°.
Carcasa ABS resistente a los impactos y a varios líquidos presentes en los talleres.
Imán de neodimio en la base.
Dos imanes de neodimio en la parte posterior.
Doble gancho plegable que gira totalmente 360°.
Batería de litio de 3,7 V y 2000 mAh.
Hasta 10 horas de funcionamiento.
Incluye cable de carga micro USB de 1 m.
Temperatura del color: 5700ºK.
IP54/IK07.
Índice de reproducción cromática (CRI) >70.
CE-EMC/RoHS/Reach."; $49.990 ;
L-SLIM-1;IRIMO;"Linterna COB inalámbrica y plegable 
L-SLIM-1
LED COB de 50-400 lm (principal) y LED SMD de 70 lm (linterna).
Intensidad de la luz regulable.
El cuerpo puede plegarse 180°.
Imán de neodimio en la base.
Dos imanes de neodimio en la parte posterior.
Gancho plegable que gira totalmente 360°.
Batería de litio de 3,7 V y 2000 mAh.
Hasta 8 horas de funcionamiento.
Incluye cable de carga micro USB de 1 m.
Temperatura del color: 5700ºK.
IP20/IK07.
Índice de reproducción cromática (CRI) >70.
CE-EMC/RoHS/Reach."; $48.990 ;
YT08518;YATO;"Lámpara de trabajo COB LED funcional de 5W con linterna de 3W en la parte superior . El flujo luminoso de 600 lúmenes y 3 modos de iluminación garantizan un trabajo eficiente y confortable. El imán en la parte inferior permite que la lámpara se adhiera al metal. La parte superior larga, delgada y ajustable de la lámpara ayudará a iluminar los lugares difíciles de alcanzar.
Tres modos de luz: 100% (600 lm), aprox.45% (260 lm), linterna (120 lm)
Tiempo de trabajo: 2,5-7 h.
Tiempo de carga: 4 h
Batería de iones de litio de 3.7V 2600 mAh
Mango antideslizante y carcasa de ABS
El imán en la parte inferior le permite colocar la lámpara cómodamente
Color de luz brillante 6500K
Indicador de carga de la batería
Cuerpo giratorio 120 grados
El conjunto incluye un cable micro USB de 1,5 my un cargador de pared.
Tiempo de iluminación:
Luz principal 100% - 2,5 horas
Luz principal 45% - 5,5 horas
Luz superior (linterna) - 7h"; $62.990 ;
YT08527;YATO;"Lámpara de taller LED COB flexible YATO:
La lámpara de taller YATO, gracias a un brazo fino y flexible y un diodo COB de doble cara, permite iluminar lugares de difícil acceso. Gracias a la base magnética estable, también funcionará muy bien como lámpara de escritorio. Una ventaja adicional es la alta potencia lumínica máxima de 500 lm y la regulación suave, que te permitirá elegir la iluminación para la actividad realizada y el nivel de carga de la batería. La lámpara está equipada con una batería de iones de litio con una capacidad de 2600 mAh, que garantizará un funcionamiento de hasta 16 horas. La resistencia excepcional al agua, al polvo y a las caídas está garantizada por la clase de hermeticidad IP65 y la clase de protección mecánica IK07
Fuente de luz:
Dos haces de luz - 2 x 5W COB LED, color 6500K
Número de lúmenes:
Luz delantera: min - max 50 - 500 lm. Luz trasera: min - max 50 - 500 lm. Luz delantera + trasera: min - max 50 - 500 lm. 3 modos de trabajo: luz delantera, luz trasera, luz delantera + trasera. Ajuste de luz suave: 50-500 lm
Fuente de energía: Batería: LI-ION, 3,7 V, 2600 mAh (tipo 18650). Carga: Cable USB (Tipo C). Tiempo de trabajo: 2h - 16h. Tiempo de carga: 4h
"; $79.990 ;
